Author_ID,Author
1,William Shakespeare
2,Duchess Of Newcastle Margaret Cavendish
3,Thomas Bastard
4,Edmund Spenser
5,Richard Barnfield
6,Sir Walter Ralegh
7,Queen Elizabeth I
8,John Donne
9,John Skelton
10,Christopher Marlowe
11,Lady Mary Wroth
12,"Robert Southwell, Sj"
13,William Byrd
14,George Gascoigne
15,"Henry Viii, King Of England"
16,Sir Thomas Wyatt
17,En Jonson
18,Orlando Gibbons
19,Thomas Nashe
20,Sir Philip Sidney
21,"Second Baron Vaux Of Harrowden Thomas, Lord Vaux"
22,"Henry Howard, Earl Of Surrey"
23,George Chapman
24,Thomas Campion
25,Isabella Whitney
26,Samuel Daniel
27,Thomas Heywood
28,Giovanni Battista Guarini
29,Sir Edward Dyer
30,Thomas Lodge
31,John Fletcher
32,Edgar Lee Masters
33,William Butler Yeats
34,Ford Madox Ford
35,Ivor Gurney
36,Carl Sandburg
37,Ezra Pound
38,Elinor Wylie
39,George Santayana
40,Louise Bogan
41,Kenneth Slessor
42,Hart Crane
43,D. H. Lawrence
44,Hugh Macdiarmid
45,E. E. Cummings
46,Louis Untermeyer
47,Wallace Stevens
48,Marjorie Pickthall
49,Richard Aldington
50,Guillaume Apollinaire
51,Samuel Greenberg
52,Stephen Spender
53,Edith Sitwell
54,Paul Laurence Dunbar
55,Sara Teasdale
56,Mina Loy
57,Marianne Moore
58,Asil Bunting
59,Michael Anania
60,Archibald Macleish
61,Conrad Aiken
62,Malcolm Cowley
63,Katherine Mansfield
64,T. S. Eliot
65,Gertrude Stein
66,James Joyce
67,Kenneth Fearing
